ingredient_id	ingredient_name	kcal_per_100g	protein_per_100g	carbs_per_100g	fat_per_100g	fiber_per_100g	sugar_per_100g	diet_type	category
39	Maple syrup	260	0	67	0	0	60	vegan	sweeteners
40	Honey	304	0.3	82	0	0.2	82.1	vegetarian	sweeteners
41	Sugar	387	0	100	0	0	100	vegan	sweeteners
42	Banana	89	1.1	22.8	0.3	2.6	12.2	vegan	fruit
43	Apple	52	0.3	13.8	0.2	2.4	10.4	vegan	fruit
44	Orange	47	0.9	11.8	0.1	2.4	9.4	vegan	fruit
45	Strawberries	32	0.7	7.7	0.3	2	4.9	vegan	fruit
46	Blueberries	57	0.7	14.5	0.3	2.4	10	vegan	fruit
47	Grapes	69	0.7	18.1	0.2	0.9	15.5	vegan	fruit
48	Pineapple	50	0.5	13.1	0.1	1.4	9.9	vegan	fruit
49	Mango	60	0.8	15	0.4	1.6	13.7	vegan	fruit
50	Peach	39	0.9	9.5	0.3	1.5	8.4	vegan	fruit
51	Watermelon	30	0.6	7.6	0.2	0.4	6.2	vegan	fruit
52	Lemon juice	22	0.4	6.9	0.2	0.3	2.5	vegan	fruit
53	Tomato	18	0.9	3.9	0.2	1.2	2.6	vegan	vegetables
54	Cucumber	15	0.7	3.6	0.1	0.5	1.7	vegan	vegetables
55	Carrots	41	0.9	10	0.2	2.8	4.7	vegan	vegetables
56	Spinach	23	2.9	3.6	0.4	2.2	0.4	vegan	vegetables
57	Broccoli	34	2.8	7	0.4	2.6	1.7	vegan	vegetables
58	Bell pepper	31	1	6	0.3	2.1	4.2	vegan	vegetables
59	Onion	40	1.1	9.3	0.1	1.7	4.2	vegan	vegetables
60	Garlic	149	6.4	33	0.5	2.1	1	vegan	vegetables
61	Lettuce	15	1.4	2.9	0.2	1.3	0.8	vegan	vegetables
62	Kale	49	4.3	8.8	0.9	4.1	2.3	vegan	vegetables
63	Zucchini	17	1.2	3.1	0.3	1	2.5	vegan	vegetables
64	Mushrooms	22	3.1	3.3	0.3	1	2	vegan	vegetables
65	Cauliflower	25	1.9	5	0.3	2	1.9	vegan	vegetables
66	Green beans	31	1.8	7	0.1	2.7	3.3	vegan	vegetables
67	Corn	96	3.4	21	1.5	2.4	4.5	vegan	vegetables
68	Peas	81	5.4	14	0.4	5.1	5.7	vegan	vegetables
69	Sweet potato baked	90	2	21	0.2	3.3	6.5	vegan	vegetables
70	Potato baked	93	2.5	21	0.1	2.2	1.2	vegan	vegetables
71	Lentils cooked	116	9	20	0.4	7.9	1.8	vegan	legumes
72	Chickpeas cooked	164	9	27	2.6	7.6	4.8	vegan	legumes
73	Black beans cooked	132	9	24	0.5	8.7	0.3	vegan	legumes
74	Kidney beans cooked	127	8.7	22.8	0.5	6.4	0.3	vegan	legumes
75	Pinto beans cooked	143	9	26	0.7	9	0.6	vegan	legumes
76	Edamame cooked	122	11.9	9.9	5.2	5.2	2.2	vegan	legumes
77	Tofu firm	144	17	3	8.7	1.2	0.6	vegan	protein
78	Tofu silken	55	5	1.5	3	0.2	0.5	vegan	protein
79	Tempeh	193	20	9	11	1.4	0	vegan	protein
80	Seitan	370	75	14	2	0.6	0	vegan	protein
81	Textured vegetable protein (TVP dry)	327	50	33	1	17	8	vegan	protein
82	Egg whole	143	13	1.1	10	0	1.1	non-vegetarian	protein
83	Egg whites	52	11	0.7	0.2	0	0.7	non-vegetarian	protein
84	Chicken breast cooked	165	31	0	3.6	0	0	non-vegetarian	protein
85	Turkey breast cooked	135	29	0	1.6	0	0	non-vegetarian	protein
86	Lean ground turkey cooked	180	27	0	8	0	0	non-vegetarian	protein
87	Beef lean cooked	250	26	0	15	0	0	non-vegetarian	protein
88	Salmon cooked	208	20	0	13	0	0	non-vegetarian	protein
89	Cod cooked	105	23	0	0.9	0	0	non-vegetarian	protein
90	Shrimp cooked	99	24	0.2	0.3	0	0	non-vegetarian	protein
91	Canned tuna in water	116	26	0	1	0	0	non-vegetarian	protein
92	Cheddar cheese	403	25	1.3	33	0	0.5	vegetarian	dairy
93	Parmesan	431	38	4	29	0	0.9	vegetarian	dairy
94	Mozzarella part-skim	254	24	3	16	0	1	vegetarian	dairy
95	Feta	264	14	4	21	0	4.1	vegetarian	dairy
96	Paneer	321	18	4	25	0	2	vegetarian	dairy
97	Cream cheese	342	6	4	34	0	3.2	vegetarian	dairy
98	Whey protein powder	400	80	10	6	2	4	vegetarian	supplements
99	Pea protein powder	380	75	10	6	5	1	vegan	supplements
100	Dark chocolate 70%	600	7	46	43	11	24	vegan	treats
101	Cocoa powder unsweetened	228	19	58	14	33	1.8	vegan	treats
102	Chicken sausage	250	14	2	20	0	1	non-vegetarian	protein
103	Turkey bacon	217	29	0	11	0	0	non-vegetarian	protein
104	Beef jerky	410	33	11	26	0	7	non-vegetarian	snacks
105	Turkey jerky	310	50	8	4	0	3	non-vegetarian	snacks
106	Granola bar	440	8	72	14	4	28	vegan	snacks
107	Protein bar	370	30	35	10	8	16	vegetarian	snacks
108	Strawberry jam	250	0.3	65	0.1	1	60	vegan	condiments
109	Peanut sauce	520	12	18	40	2	10	vegan	condiments
110	Tahini	595	17	21	53	9	1.5	vegan	condiments
111	Pesto (traditional)	430	5	7	45	1	1	vegetarian	condiments
112	Basil	23	3.2	2.7	0.6	1.6	0.3	vegan	spices
113	Cilantro	23	2.1	3.7	0.5	2.8	0.9	vegan	spices
114	Black pepper	251	10	64	3.3	26.5	0.6	vegan	spices
115	Salt	0	0	0	0	0	0	vegan	spices
116	Cinnamon	247	4	81	1.2	53	2.2	vegan	spices
117	Cumin	375	18	44	22	10.5	2.3	vegan	spices
118	Paprika	282	14	54	13	34.9	10.3	vegan	spices
119	Chili powder	282	12	50	14	34.8	7.2	vegan	spices
120	Ginger	80	1.8	18	0.8	2	1.7	vegan	spices
